family,n,inst,p,ceiling,kind,sigma,rep,regret_raw,regret_norm
ER(0.5),12,2,1,0.836853,iid,0.05,2,0.125315,0.011103
ER(0.5),12,2,1,0.836853,iid,0.05,3,0.125315,0.021868
ER(0.5),12,2,1,0.836853,iid,0.05,4,0.091864,0.021868
ER(0.5),12,2,1,0.836853,iid,0.05,5,0.125315,0.030489
ER(0.5),12,2,1,0.836853,iid,0.1,1,0.14986,0.017478
ER(0.5),12,2,1,0.836853,iid,0.1,2,0.125315,0.011103
ER(0.5),12,2,1,0.836853,iid,0.1,3,0.125315,0.021868
ER(0.5),12,2,1,0.836853,iid,0.1,4,0.081257,0.005954
ER(0.5),12,2,1,0.836853,iid,0.1,5,0.122926,0.011103
ER(0.5),12,2,1,0.836853,iid,0.2,1,0.125315,0.00234
ER(0.5),12,2,1,0.836853,iid,0.2,2,0.122808,0.000565
ER(0.5),12,2,1,0.836853,iid,0.2,3,0.14775,0.002235
ER(0.5),12,2,1,0.836853,iid,0.2,4,0.116315,0.005899
ER(0.5),12,2,1,0.836853,iid,0.2,5,0.125315,0.011103
ER(0.5),12,2,1,0.836853,iid,0.4,1,0.333553,0.021738
ER(0.5),12,2,1,0.836853,iid,0.4,2,0.140106,0.010657
ER(0.5),12,2,1,0.836853,iid,0.4,3,0.125315,0.037161
ER(0.5),12,2,1,0.836853,iid,0.4,4,0.125315,0.010657
ER(0.5),12,2,1,0.836853,iid,0.4,5,0.126066,0.019642
ER(0.5),12,2,1,0.836853,iid,0.8,1,0.146381,0.024549
ER(0.5),12,2,1,0.836853,iid,0.8,2,0.125315,0.030276
ER(0.5),12,2,1,0.836853,iid,0.8,3,0.129527,0.03153
ER(0.5),12,2,1,0.836853,iid,0.8,4,0.125315,0.034202
ER(0.5),12,2,1,0.836853,iid,0.8,5,0.241513,0.006447
ER(0.5),12,2,3,0.932219,exact,0.0,0,0.094499,0.025315
ER(0.5),12,2,3,0.932219,samp10,0.0,1,0.080653,0.005436
ER(0.5),12,2,3,0.932219,iid,0.05,1,0.216254,0.025315
ER(0.5),12,2,3,0.932219,iid,0.05,2,0.224753,0.025964
ER(0.5),12,2,3,0.932219,iid,0.05,3,0.224753,0.025964
ER(0.5),12,2,3,0.932219,iid,0.05,4,0.195388,0.013233
ER(0.5),12,2,3,0.932219,iid,0.05,5,0.209122,0.013233
ER(0.5),12,2,3,0.932219,iid,0.1,1,0.245382,0.018958
ER(0.5),12,2,3,0.932219,iid,0.1,2,0.412001,0.030537
ER(0.5),12,2,3,0.932219,iid,0.1,3,0.211763,0.030537
ER(0.5),12,2,3,0.932219,iid,0.1,4,0.18859,0.013233
ER(0.5),12,2,3,0.932219,iid,0.1,5,0.211763,0.030537
ER(0.5),12,2,3,0.932219,iid,0.2,1,0.224753,0.02089
ER(0.5),12,2,3,0.932219,iid,0.2,2,0.238635,0.018457
ER(0.5),12,2,3,0.932219,iid,0.2,3,0.237161,0.024518
ER(0.5),12,2,3,0.932219,iid,0.2,4,0.329709,0.032687
ER(0.5),12,2,3,0.932219,iid,0.2,5,0.245382,0.0546
ER(0.5),12,2,3,0.932219,iid,0.4,1,0.274653,0.043534
ER(0.5),12,2,3,0.932219,iid,0.4,2,0.22496,0.066465
ER(0.5),12,2,3,0.932219,iid,0.4,3,0.215157,0.038983
ER(0.5),12,2,3,0.932219,iid,0.4,4,0.239113,0.084251
ER(0.5),12,2,3,0.932219,iid,0.4,5,0.246356,0.040975
ER(0.5),12,2,3,0.932219,iid,0.8,1,0.237161,0.151472
ER(0.5),12,2,3,0.932219,iid,0.8,2,0.224753,0.077659
ER(0.5),12,2,3,0.932219,iid,0.8,3,0.215001,0.253821
ER(0.5),12,2,3,0.932219,iid,0.8,4,0.238593,0.109176
ER(0.5),12,2,3,0.932219,iid,0.8,5,0.318545,0.056816
ER(0.5),12,3,1,0.824275,exact,0.0,0,0.027452,0.026456
ER(0.5),12,3,1,0.824275,samp10,0.0,1,0.033416,0.020064
ER(0.5),12,3,1,0.824275,iid,0.05,1,0.124275,0.026456
ER(0.5),12,3,1,0.824275,iid,0.05,2,0.111946,0.020064
ER(0.5),12,3,1,0.824275,iid,0.05,3,0.124275,0.015163
ER(0.5),12,3,1,0.824275,iid,0.05,4,0.124275,0.026456
ER(0.5),12,3,1,0.824275,iid,0.05,5,0.06423,0.009386
ER(0.5),12,3,1,0.824275,iid,0.1,1,0.081315,0.004806
ER(0.5),12,3,1,0.824275,iid,0.1,2,0.115938,0.009386
ER(0.5),12,3,1,0.824275,iid,0.1,3,0.06423,0.004427
ER(0.5),12,3,1,0.824275,iid,0.1,4,0.124275,0.009386
ER(0.5),12,3,1,0.824275,iid,0.1,5,0.124275,0.004427
ER(0.5),12,3,1,0.824275,iid,0.2,1,0.124275,0.000129
ER(0.5),12,3,1,0.824275,iid,0.2,2,0.12897,0.006209
ER(0.5),12,3,1,0.824275,iid,0.2,3,0.20522,0.000129
ER(0.5),12,3,1,0.824275,iid,0.2,4,0.124275,0.008951
ER(0.5),12,3,1,0.824275,iid,0.2,5,0.124275,0.00522
ER(0.5),12,3,1,0.824275,iid,0.4,1,0.167057,0.027305
ER(0.5),12,3,1,0.824275,iid,0.4,2,0.124275,0.030117
ER(0.5),12,3,1,0.824275,iid,0.4,3,0.148398,0.018263
ER(0.5),12,3,1,0.824275,iid,0.4,4,0.162465,0.006209
ER(0.5),12,3,1,0.824275,iid,0.4,5,0.277259,0.024858
ER(0.5),12,3,1,0.824275,iid,0.8,1,0.130508,0.016294
ER(0.5),12,3,1,0.824275,iid,0.8,2,0.124275,0.015141
ER(0.5),12,3,1,0.824275,iid,0.8,3,0.124275,0.014749
ER(0.5),12,3,1,0.824275,iid,0.8,4,0.124275,0.006209
ER(0.5),12,3,1,0.824275,iid,0.8,5,0.124275,0.073793
ER(0.5),12,3,3,0.925855,exact,0.0,0,0.081415,0.043432
ER(0.5),12,3,3,0.925855,samp10,0.0,1,0.108223,0.006038
ER(0.5),12,3,3,0.925855,iid,0.05,1,0.105199,0.048074
ER(0.5),12,3,3,0.925855,iid,0.05,2,0.217068,0.020484
ER(0.5),12,3,3,0.925855,iid,0.05,3,0.223221,0.048074
ER(0.5),12,3,3,0.925855,iid,0.05,4,0.195613,0.020484
ER(0.5),12,3,3,0.925855,iid,0.05,5,0.204884,0.061601
ER(0.5),12,3,3,0.925855,iid,0.1,1,0.204884,0.031013
ER(0.5),12,3,3,0.925855,iid,0.1,2,0.220445,0.04936
ER(0.5),12,3,3,0.925855,iid,0.1,3,0.211833,0.036966
ER(0.5),12,3,3,0.925855,iid,0.1,4,0.219254,0.036966
ER(0.5),12,3,3,0.925855,iid,0.1,5,0.229928,0.028738
ER(0.5),12,3,3,0.925855,iid,0.2,1,0.25515,0.02444
ER(0.5),12,3,3,0.925855,iid,0.2,2,0.229745,0.040757
ER(0.5),12,3,3,0.925855,iid,0.2,3,0.351572,0.028738
ER(0.5),12,3,3,0.925855,iid,0.2,4,0.250345,0.020484
ER(0.5),12,3,3,0.925855,iid,0.2,5,0.35092,0.023327
ER(0.5),12,3,3,0.925855,iid,0.4,1,0.242071,0.079954
ER(0.5),12,3,3,0.925855,iid,0.4,2,0.220445,0.073206
ER(0.5),12,3,3,0.925855,iid,0.4,3,0.306732,0.060243
ER(0.5),12,3,3,0.925855,iid,0.4,4,0.295267,0.044386
ER(0.5),12,3,3,0.925855,iid,0.4,5,0.259272,0.044386
ER(0.5),12,3,3,0.925855,iid,0.8,1,0.250345,0.056588
ER(0.5),12,3,3,0.925855,iid,0.8,2,0.347252,0.126217
ER(0.5),12,3,3,0.925855,iid,0.8,3,0.27175,0.096437
ER(0.5),12,3,3,0.925855,iid,0.8,4,0.250345,0.059335
ER(0.5),12,3,3,0.925855,iid,0.8,5,0.309964,0.13356
ER(0.5),12,4,1,0.852769,exact,0.0,0,0.018335,0.01161
ER(0.5),12,4,1,0.852769,samp10,0.0,1,0.013893,0.01161
ER(0.5),12,4,1,0.852769,iid,0.05,1,0.096791,0.016773
ER(0.5),12,4,1,0.852769,iid,0.05,2,0.112769,0.01161
ER(0.5),12,4,1,0.852769,iid,0.05,3,0.112769,0.007638
ER(0.5),12,4,1,0.852769,iid,0.05,4,0.112769,0.01161
ER(0.5),12,4,1,0.852769,iid,0.05,5,0.114621,0.007638
ER(0.5),12,4,1,0.852769,iid,0.1,1,0.080996,0.003624
ER(0.5),12,4,1,0.852769,iid,0.1,2,0.209353,0.022765
ER(0.5),12,4,1,0.852769,iid,0.1,3,0.112769,0.007638
ER(0.5),12,4,1,0.852769,iid,0.1,4,0.141453,0.01161
ER(0.5),12,4,1,0.852769,iid,0.1,5,0.091796,0.01161
ER(0.5),12,4,1,0.852769,iid,0.2,1,0.12458,0.002843
ER(0.5),12,4,1,0.852769,iid,0.2,2,0.112769,0.000899
ER(0.5),12,4,1,0.852769,iid,0.2,3,0.112094,0.013798
ER(0.5),12,4,1,0.852769,iid,0.2,4,0.210165,0.007434
ER(0.5),12,4,1,0.852769,iid,0.2,5,0.096791,0.002843
ER(0.5),12,4,1,0.852769,iid,0.4,1,0.116799,0.015041
ER(0.5),12,4,1,0.852769,iid,0.4,2,0.112769,0.026225
ER(0.5),12,4,1,0.852769,iid,0.4,3,0.118976,0.023411
ER(0.5),12,4,1,0.852769,iid,0.4,4,0.112769,0.009831
ER(0.5),12,4,1,0.852769,iid,0.4,5,0.232519,0.009831
ER(0.5),12,4,1,0.852769,iid,0.8,1,0.112769,0.009907
ER(0.5),12,4,1,0.852769,iid,0.8,2,0.266013,0.023411
ER(0.5),12,4,1,0.852769,iid,0.8,3,0.28462,0.09705
ER(0.5),12,4,1,0.852769,iid,0.8,4,0.141695,0.026225
ER(0.5),12,4,1,0.852769,iid,0.8,5,0.115323,0.007621
ER(0.5),12,4,3,0.916212,exact,0.0,0,0.061036,0.018577
ER(0.5),12,4,3,0.916212,samp10,0.0,1,0.042578,0.016858
ER(0.5),12,4,3,0.916212,iid,0.05,1,0.153125,0.024026
ER(0.5),12,4,3,0.916212,iid,0.05,2,0.181358,0.023931
ER(0.5),12,4,3,0.916212,iid,0.05,3,0.181358,0.034453
ER(0.5),12,4,3,0.916212,iid,0.05,4,0.176421,0.023931
ER(0.5),12,4,3,0.916212,iid,0.05,5,0.198463,0.042826
ER(0.5),12,4,3,0.916212,iid,0.1,1,0.171257,0.012689
ER(0.5),12,4,3,0.916212,iid,0.1,2,0.209794,0.023931
ER(0.5),12,4,3,0.916212,iid,0.1,3,0.172667,0.006925
ER(0.5),12,4,3,0.916212,iid,0.1,4,0.248327,0.006925
ER(0.5),12,4,3,0.916212,iid,0.1,5,0.209233,0.012689
ER(0.5),12,4,3,0.916212,iid,0.2,1,0.194008,0.022918
ER(0.5),12,4,3,0.916212,iid,0.2,2,0.152492,0.030002
ER(0.5),12,4,3,0.916212,iid,0.2,3,0.215326,0.030596
ER(0.5),12,4,3,0.916212,iid,0.2,4,0.203462,0.030002
ER(0.5),12,4,3,0.916212,iid,0.2,5,0.232984,0.020138
ER(0.5),12,4,3,0.916212,iid,0.4,1,0.26947,0.0291
ER(0.5),12,4,3,0.916212,iid,0.4,2,0.181358,0.068621
ER(0.5),12,4,3,0.916212,iid,0.4,3,0.26947,0.02712
ER(0.5),12,4,3,0.916212,iid,0.4,4,0.181358,0.051404
ER(0.5),12,4,3,0.916212,iid,0.4,5,0.304934,0.016672
ER(0.5),12,4,3,0.916212,iid,0.8,1,0.181358,0.109806
ER(0.5),12,4,3,0.916212,iid,0.8,2,0.254394,0.074159
ER(0.5),12,4,3,0.916212,iid,0.8,3,0.33639,0.078417
ER(0.5),12,4,3,0.916212,iid,0.8,4,0.244525,0.084326
ER(0.5),12,4,3,0.916212,iid,0.8,5,0.253243,0.020138
ER(0.5),12,5,1,0.867125,exact,0.0,0,0.019514,0.004257
ER(0.5),12,5,1,0.867125,samp10,0.0,1,0.009928,0.008616
ER(0.5),12,5,1,0.867125,iid,0.05,1,0.099268,0.003017
ER(0.5),12,5,1,0.867125,iid,0.05,2,0.099268,0.004257
ER(0.5),12,5,1,0.867125,iid,0.05,3,0.099268,0.008616
ER(0.5),12,5,1,0.867125,iid,0.05,4,0.099268,0.003017
ER(0.5),12,5,1,0.867125,iid,0.05,5,0.099268,0.004257
ER(0.5),12,5,1,0.867125,iid,0.1,1,0.099268,0.008616
ER(0.5),12,5,1,0.867125,iid,0.1,2,0.099268,0.004257
ER(0.5),12,5,1,0.867125,iid,0.1,3,0.099268,0.004257
ER(0.5),12,5,1,0.867125,iid,0.1,4,0.099268,0.004257
ER(0.5),12,5,1,0.867125,iid,0.1,5,0.099268,0.003017
ER(0.5),12,5,1,0.867125,iid,0.2,1,0.099268,0.003017
ER(0.5),12,5,1,0.867125,iid,0.2,2,0.116397,0.006946
ER(0.5),12,5,1,0.867125,iid,0.2,3,0.099268,0.012228
ER(0.5),12,5,1,0.867125,iid,0.2,4,0.107411,0.008616
ER(0.5),12,5,1,0.867125,iid,0.2,5,0.078431,0.000677
ER(0.5),12,5,1,0.867125,iid,0.4,1,0.13896,0.005465
ER(0.5),12,5,1,0.867125,iid,0.4,2,0.099268,0.005345
ER(0.5),12,5,1,0.867125,iid,0.4,3,0.099268,0.003017
ER(0.5),12,5,1,0.867125,iid,0.4,4,0.118813,0.04204
ER(0.5),12,5,1,0.867125,iid,0.4,5,0.099268,0.000677
ER(0.5),12,5,1,0.867125,iid,0.8,1,0.100263,0.020713
ER(0.5),12,5,1,0.867125,iid,0.8,2,0.099268,0.176996
ER(0.5),12,5,1,0.867125,iid,0.8,3,0.099268,0.02993
ER(0.5),12,5,1,0.867125,iid,0.8,4,0.186331,0.099268
ER(0.5),12,5,1,0.867125,iid,0.8,5,0.099268,0.01533
ER(0.5),12,5,3,0.931342,exact,0.0,0,0.055988,0.024356
ER(0.5),12,5,3,0.931342,samp10,0.0,1,0.031679,0.037119
ER(0.5),12,5,3,0.931342,iid,0.05,1,0.169651,0.032958
ER(0.5),12,5,3,0.931342,iid,0.05,2,0.169651,0.02517
ER(0.5),12,5,3,0.931342,iid,0.05,3,0.16382,0.037119
ER(0.5),12,5,3,0.931342,iid,0.05,4,0.169651,0.037119
ER(0.5),12,5,3,0.931342,iid,0.05,5,0.131964,0.024356
ER(0.5),12,5,3,0.931342,iid,0.1,1,0.169651,0.02517
ER(0.5),12,5,3,0.931342,iid,0.1,2,0.169651,0.005193
ER(0.5),12,5,3,0.931342,iid,0.1,3,0.152968,0.032958
ER(0.5),12,5,3,0.931342,iid,0.1,4,0.163981,0.01504
ER(0.5),12,5,3,0.931342,iid,0.1,5,0.155094,0.024356
ER(0.5),12,5,3,0.931342,iid,0.2,1,0.206814,0.029323
ER(0.5),12,5,3,0.931342,iid,0.2,2,0.230313,0.018506
ER(0.5),12,5,3,0.931342,iid,0.2,3,0.289403,0.037579
ER(0.5),12,5,3,0.931342,iid,0.2,4,0.169651,0.016195
ER(0.5),12,5,3,0.931342,iid,0.2,5,0.291178,0.030515
ER(0.5),12,5,3,0.931342,iid,0.4,1,0.298056,0.044738
ER(0.5),12,5,3,0.931342,iid,0.4,2,0.31852,0.029323
ER(0.5),12,5,3,0.931342,iid,0.4,3,0.224705,0.029323
ER(0.5),12,5,3,0.931342,iid,0.4,4,0.198977,0.026995
ER(0.5),12,5,3,0.931342,iid,0.4,5,0.231769,0.024644
ER(0.5),12,5,3,0.931342,iid,0.8,1,0.418725,0.354817
ER(0.5),12,5,3,0.931342,iid,0.8,2,0.191975,0.137451
ER(0.5),12,5,3,0.931342,iid,0.8,3,0.30285,0.04809
ER(0.5),12,5,3,0.931342,iid,0.8,4,0.217541,0.177596
ER(0.5),12,5,3,0.931342,iid,0.8,5,0.169651,0.035808
ER(0.5),12,6,1,0.817472,exact,0.0,0,0.020708,0.02612
ER(0.5),12,6,1,0.817472,samp10,0.0,1,0.033032,0.008754
ER(0.5),12,6,1,0.817472,iid,0.05,1,0.072566,0.008754
ER(0.5),12,6,1,0.817472,iid,0.05,2,0.113768,0.008754
ER(0.5),12,6,1,0.817472,iid,0.05,3,0.0516,0.013948
ER(0.5),12,6,1,0.817472,iid,0.05,4,0.113768,0.013948
ER(0.5),12,6,1,0.817472,iid,0.05,5,0.113768,0.008754
ER(0.5),12,6,1,0.817472,iid,0.1,1,0.113768,0.013948
ER(0.5),12,6,1,0.817472,iid,0.1,2,0.110452,0.013948
ER(0.5),12,6,1,0.817472,iid,0.1,3,0.149557,0.00294
ER(0.5),12,6,1,0.817472,iid,0.1,4,0.113768,0.006829
ER(0.5),12,6,1,0.817472,iid,0.1,5,0.110452,0.02612
ER(0.5),12,6,1,0.817472,iid,0.2,1,0.113768,0.006829
ER(0.5),12,6,1,0.817472,iid,0.2,2,0.194703,0.012041
ER(0.5),12,6,1,0.817472,iid,0.2,3,0.113768,0.000587
ER(0.5),12,6,1,0.817472,iid,0.2,4,0.221947,0.000587
ER(0.5),12,6,1,0.817472,iid,0.2,5,0.149557,0.0
ER(0.5),12,6,1,0.817472,iid,0.4,1,0.123154,0.00566
ER(0.5),12,6,1,0.817472,iid,0.4,2,0.113768,0.008754
ER(0.5),12,6,1,0.817472,iid,0.4,3,0.131805,0.006007
ER(0.5),12,6,1,0.817472,iid,0.4,4,0.113768,0.021723
ER(0.5),12,6,1,0.817472,iid,0.4,5,0.194703,0.009639
ER(0.5),12,6,1,0.817472,iid,0.8,1,0.122926,0.052457
ER(0.5),12,6,1,0.817472,iid,0.8,2,0.120164,0.04297
ER(0.5),12,6,1,0.817472,iid,0.8,3,0.123952,0.04297
ER(0.5),12,6,1,0.817472,iid,0.8,4,0.23608,0.029052
ER(0.5),12,6,1,0.817472,iid,0.8,5,0.114592,0.009639
ER(0.5),12,6,3,0.912566,exact,0.0,0,0.091408,0.047839
ER(0.5),12,6,3,0.912566,samp10,0.0,1,0.095797,0.03391
ER(0.5),12,6,3,0.912566,iid,0.05,1,0.195964,0.051178
ER(0.5),12,6,3,0.912566,iid,0.05,2,0.192302,0.063934
ER(0.5),12,6,3,0.912566,iid,0.05,3,0.21094,0.039789
ER(0.5),12,6,3,0.912566,iid,0.05,4,0.213339,0.039789
ER(0.5),12,6,3,0.912566,iid,0.05,5,0.213339,0.021792
ER(0.5),12,6,3,0.912566,iid,0.1,1,0.200336,0.021792
ER(0.5),12,6,3,0.912566,iid,0.1,2,0.209352,0.029987
ER(0.5),12,6,3,0.912566,iid,0.1,3,0.213339,0.039745
ER(0.5),12,6,3,0.912566,iid,0.1,4,0.19997,0.036796
ER(0.5),12,6,3,0.912566,iid,0.1,5,0.208659,0.051178
ER(0.5),12,6,3,0.912566,iid,0.2,1,0.200855,0.039745
ER(0.5),12,6,3,0.912566,iid,0.2,2,0.29749,0.040283
ER(0.5),12,6,3,0.912566,iid,0.2,3,0.302671,0.038526
ER(0.5),12,6,3,0.912566,iid,0.2,4,0.244726,0.041138
ER(0.5),12,6,3,0.912566,iid,0.2,5,0.314125,0.020923
ER(0.5),12,6,3,0.912566,iid,0.4,1,0.190866,0.068912
ER(0.5),12,6,3,0.912566,iid,0.4,2,0.213339,0.036339
ER(0.5),12,6,3,0.912566,iid,0.4,3,0.349693,0.051793
ER(0.5),12,6,3,0.912566,iid,0.4,4,0.242793,0.040098
ER(0.5),12,6,3,0.912566,iid,0.4,5,0.239381,0.021467
ER(0.5),12,6,3,0.912566,iid,0.8,1,0.225418,0.119286
ER(0.5),12,6,3,0.912566,iid,0.8,2,0.21936,0.026367
ER(0.5),12,6,3,0.912566,iid,0.8,3,0.241507,0.097084
ER(0.5),12,6,3,0.912566,iid,0.8,4,0.338238,0.068912
ER(0.5),12,6,3,0.912566,iid,0.8,5,0.305495,0.183317
ER(0.5),12,7,1,0.784744,exact,0.0,0,0.031132,0.02154
ER(0.5),12,7,1,0.784744,samp10,0.0,1,0.018216,0.011014
ER(0.5),12,7,1,0.784744,iid,0.05,1,0.091746,0.02154
ER(0.5),12,7,1,0.784744,iid,0.05,2,0.091746,0.02154
ER(0.5),12,7,1,0.784744,iid,0.05,3,0.124744,0.012004
ER(0.5),12,7,1,0.784744,iid,0.05,4,0.124744,0.006998
ER(0.5),12,7,1,0.784744,iid,0.05,5,0.112824,0.01582
ER(0.5),12,7,1,0.784744,iid,0.1,1,0.124744,0.006998
ER(0.5),12,7,1,0.784744,iid,0.1,2,0.116687,0.003203
ER(0.5),12,7,1,0.784744,iid,0.1,3,0.066832,0.003203
ER(0.5),12,7,1,0.784744,iid,0.1,4,0.102616,0.006998
ER(0.5),12,7,1,0.784744,iid,0.1,5,0.124744,0.012004
ER(0.5),12,7,1,0.784744,iid,0.2,1,0.124744,0.00113
ER(0.5),12,7,1,0.784744,iid,0.2,2,0.234932,0.018044
ER(0.5),12,7,1,0.784744,iid,0.2,3,0.145999,0.003866
ER(0.5),12,7,1,0.784744,iid,0.2,4,0.124744,0.009238
ER(0.5),12,7,1,0.784744,iid,0.2,5,0.128931,0.012734
ER(0.5),12,7,1,0.784744,iid,0.4,1,0.129285,0.01918
ER(0.5),12,7,1,0.784744,iid,0.4,2,0.124744,0.01738
ER(0.5),12,7,1,0.784744,iid,0.4,3,0.114324,0.022338
ER(0.5),12,7,1,0.784744,iid,0.4,4,0.133527,0.012734
ER(0.5),12,7,1,0.784744,iid,0.4,5,0.127268,0.017467
ER(0.5),12,7,1,0.784744,iid,0.8,1,0.251213,0.032029
ER(0.5),12,7,1,0.784744,iid,0.8,2,0.13053,0.028428
ER(0.5),12,7,1,0.784744,iid,0.8,3,0.124744,0.056848
ER(0.5),12,7,1,0.784744,iid,0.8,4,0.124744,0.028428
ER(0.5),12,7,1,0.784744,iid,0.8,5,0.227331,0.125872
ER(0.5),12,7,3,0.877226,exact,0.0,0,0.075881,0.022452
ER(0.5),12,7,3,0.877226,samp10,0.0,1,0.075881,0.033354
ER(0.5),12,7,3,0.877226,iid,0.05,1,0.192171,0.022452
ER(0.5),12,7,3,0.877226,iid,0.05,2,0.190512,0.022452
ER(0.5),12,7,3,0.877226,iid,0.05,3,0.220852,0.022452
ER(0.5),12,7,3,0.877226,iid,0.05,4,0.208775,0.030978
ER(0.5),12,7,3,0.877226,iid,0.05,5,0.207803,0.030978
ER(0.5),12,7,3,0.877226,iid,0.1,1,0.220852,0.035649
ER(0.5),12,7,3,0.877226,iid,0.1,2,0.208775,0.028436
ER(0.5),12,7,3,0.877226,iid,0.1,3,0.157216,0.039344
ER(0.5),12,7,3,0.877226,iid,0.1,4,0.178314,0.008083
ER(0.5),12,7,3,0.877226,iid,0.1,5,0.220852,0.030978
ER(0.5),12,7,3,0.877226,iid,0.2,1,0.316293,0.052706
ER(0.5),12,7,3,0.877226,iid,0.2,2,0.177868,0.050628
ER(0.5),12,7,3,0.877226,iid,0.2,3,0.207803,0.071306
ER(0.5),12,7,3,0.877226,iid,0.2,4,0.275343,0.055986
ER(0.5),12,7,3,0.877226,iid,0.2,5,0.23892,0.068223
ER(0.5),12,7,3,0.877226,iid,0.4,1,0.212991,0.053153
ER(0.5),12,7,3,0.877226,iid,0.4,2,0.23892,0.053153
ER(0.5),12,7,3,0.877226,iid,0.4,3,0.2104,0.055986
ER(0.5),12,7,3,0.877226,iid,0.4,4,0.261187,0.038914
ER(0.5),12,7,3,0.877226,iid,0.4,5,0.270551,0.084442
ER(0.5),12,7,3,0.877226,iid,0.8,1,0.298761,0.028851
ER(0.5),12,7,3,0.877226,iid,0.8,2,0.298815,0.039249
ER(0.5),12,7,3,0.877226,iid,0.8,3,0.23892,0.060372
